Index,Weekday
1277,Monday
1278,Monday
1279,Monday
1280,Monday
1281,Monday
1282,Monday
1283,Monday
1284,Tuesday
1285,Tuesday
1286,Tuesday
1287,Tuesday
1288,Tuesday
1289,Tuesday
1290,Tuesday
1291,Wednesday
1292,Wednesday
1293,Wednesday
1294,Wednesday
1295,Wednesday
1296,Wednesday
1297,Thursday
1298,Thursday
1299,Thursday
1300,Saturday
1301,Saturday
1302,Saturday
1303,Saturday
1304,Sunday
1305,Sunday
1306,Sunday
1307,Sunday
1308,Sunday
1309,Sunday
1310,Sunday
1311,Monday
1312,Monday
1313,Monday
1314,Monday
1315,Tuesday
1316,Tuesday
1317,Tuesday
1318,Tuesday
1319,Tuesday
1320,Tuesday
1321,Tuesday
1322,Tuesday
1323,Wednesday
1324,Wednesday
1325,Wednesday
1326,Wednesday
1327,Wednesday
1328,Wednesday
1329,Wednesday
1330,Wednesday
1331,Thursday
1332,Thursday
1333,Thursday
1334,Thursday
1335,Thursday
1336,Thursday
1337,Thursday
1338,Thursday
1339,Friday
1340,Friday
1341,Friday
1342,Friday
1343,Friday
1344,Friday
1345,Saturday
1346,Saturday
1347,Saturday
1348,Sunday
1349,Sunday
1350,Sunday
1351,Sunday
1352,Sunday
1353,Sunday
1354,Sunday
1355,Sunday
1356,Monday
1357,Monday
1358,Monday
1359,Monday
1360,Monday
1361,Monday
1362,Monday
1363,Monday
1364,Tuesday
1365,Tuesday
1366,Tuesday
1367,Tuesday
1368,Tuesday
1369,Wednesday
1370,Wednesday
1371,Thursday
1372,Thursday
1373,Thursday
1374,Thursday
1375,Thursday
1376,Friday
1377,Friday
1378,Friday
1379,Friday
1380,Friday
1381,Friday
1382,Friday
1383,Saturday
1384,Saturday
1385,Saturday
1386,Saturday
1387,Sunday
1388,Sunday
1389,Sunday
1390,Sunday
1391,Sunday
1392,Sunday
1393,Sunday
1394,Sunday
1395,Sunday
1396,Sunday
1397,Sunday
1398,Sunday
1399,Sunday
1400,Sunday
1401,Sunday
1402,Sunday
1403,Monday
1404,Monday
1405,Monday
1406,Monday
1407,Monday
1408,Monday
1409,Monday
1410,Monday
1411,Monday
1412,Tuesday
1413,Tuesday
1414,Tuesday
1415,Wednesday
1416,Wednesday
1417,Wednesday
1418,Wednesday
1419,Thursday
1420,Thursday
1421,Thursday
1422,Thursday
1423,Saturday
1424,Sunday
1425,Sunday
1426,Sunday
1427,Sunday
1428,Sunday
1429,Sunday
1430,Sunday
1431,Monday
1432,Monday
1433,Tuesday
1434,Tuesday
1435,Tuesday
1436,Wednesday
1437,Wednesday
1438,Wednesday
1439,Wednesday
1440,Thursday
1441,Thursday
1442,Thursday
1443,Thursday
1444,Friday
1445,Friday
1446,Friday
1447,Saturday
1448,Saturday
1449,Sunday
1450,Sunday
1451,Monday
1452,Monday
1453,Monday
1454,Monday
1455,Monday
1456,Tuesday
1457,Monday
1458,Tuesday
